route_id service_id trip_id trip_headsign direction_id block_id shape_id
D10 14 30544070 "East to Southern Av Station" 0 A001 D10:05
D10 14 8618070 "West to Foggy Bottom" 1 A001 D10:53
D10 14 14191070 "East to Southern Av Station" 0 A001 D10:05
D1X 14 26217070 "West to Metro Center" 1 A001 D1X:53
D1X 14 14834070 "East to Naylor Rd Station" 0 A001 D1X:04
D1X 14 14192070 "West to Metro Center" 1 A001 D1X:53
D1X 14 6719070 "East to Naylor Rd Station" 0 A001 D1X:04
D1X 14 40176070 "West to Metro Center" 1 A001 D1X:53
D1X 14 18312070 "East to Naylor Rd Station" 0 A001 D1X:04
P94 1 3877130 "East to Suitland" 0 A002 P94:04
P93 1 22188130 "West to Birchwood" 1 A002 P93:51
P93 1 32803130 "East to Suitland" 0 A002 P93:05
P94 1 13472130 "West to National Harbor" 1 A002 P94:51
P94 1 11050130 "East to Suitland" 0 A002 P94:03
P94 1 24372130 "West to National Harbor" 1 A002 P94:51
P94 1 1289130 "East to Suitland" 0 A002 P94:03
P94 2 3877090 "East to Suitland" 0 A002 P94:04
P93 2 22188090 "West to Birchwood" 1 A002 P93:51
P93 2 32803090 "East to Suitland" 0 A002 P93:05
P94 2 13472090 "West to National Harbor" 1 A002 P94:51
P94 2 11050090 "East to Suitland" 0 A002 P94:03
P94 2 24372090 "West to National Harbor" 1 A002 P94:51
P94 2 1289090 "East to Suitland" 0 A002 P94:03
P94 3 3877160 "East to Suitland" 0 A002 P94:04
P93 3 22188160 "West to Birchwood" 1 A002 P93:51
P93 3 32803160 "East to Suitland" 0 A002 P93:05
P94 3 13472160 "West to National Harbor" 1 A002 P94:51
P94 3 11050160 "East to Suitland" 0 A002 P94:03
P94 3 24372160 "West to National Harbor" 1 A002 P94:51
P94 3 1289160 "East to Suitland" 0 A002 P94:03
P94 4 3877140 "East to Suitland" 0 A002 P94:04
P93 4 22188140 "West to Birchwood" 1 A002 P93:51
P93 4 32803140 "East to Suitland" 0 A002 P93:05
P94 4 13472140 "West to National Harbor" 1 A002 P94:51
P94 4 11050140 "East to Suitland" 0 A002 P94:03
P94 4 24372140 "West to National Harbor" 1 A002 P94:51
P94 4 1289140 "East to Suitland" 0 A002 P94:03
P94 5 3877100 "East to Suitland" 0 A002 P94:04
P93 5 22188100 "West to Birchwood" 1 A002 P93:51
P93 5 32803100 "East to Suitland" 0 A002 P93:05
P94 5 13472100 "West to National Harbor" 1 A002 P94:51
P94 5 11050100 "East to Suitland" 0 A002 P94:03
P94 5 24372100 "West to National Harbor" 1 A002 P94:51
P94 5 1289100 "East to Suitland" 0 A002 P94:03
D10 6 30024110 "West to Foggy Bottom" 1 A002 D10:53
D10 6 38561110 "East to Southern Av Station" 0 A002 D10:05
P94 7 3877120 "East to Suitland" 0 A002 P94:04
P93 7 22188120 "West to Birchwood" 1 A002 P93:51
P93 7 32803120 "East to Suitland" 0 A002 P93:05
P94 7 13472120 "West to National Harbor" 1 A002 P94:51
P94 7 11050120 "East to Suitland" 0 A002 P94:03
P94 7 24372120 "West to National Harbor" 1 A002 P94:51
P94 7 1289120 "East to Suitland" 0 A002 P94:03
P94 8 3877170 "East to Suitland" 0 A002 P94:04
P93 8 22188170 "West to Birchwood" 1 A002 P93:51
P93 8 32803170 "East to Suitland" 0 A002 P93:05
P94 8 13472170 "West to National Harbor" 1 A002 P94:51
