stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6732,26732,UNIVERSITY W BLVD & LORAIN AVE,,39.02186,-77.014931,,,,,,2
6734,26734,UNIVERSITY W BLVD & BRUNETT AVE,,39.023106,-77.016629,,,,,,2
6736,26736,UNIVERSITY W BLVD & ROYALTON RD,,39.024465,-77.018402,,,,,,2
6738,26738,UNIVERSITY W BLVD & DENNIS AVE,,39.026019,-77.019974,,,,,,2
6740,26740,UNIVERSITY W BLVD & EISNER ST,,39.029654,-77.020878,,,,,,2
6742,26742,UNIVERSITY W BLVD & ORANGE DR,,39.031142,-77.021909,,,,,,2
6744,26744,UNIVERSITY W BLVD & CADDINGTON AVE,,39.033325,-77.02342,,,,,,2
6746,26746,UNIVERSITY W BLVD & ARCOLA AVE,,39.034159,-77.023967,,,,,,2
6748,26748,UNIVERSITY W BLVD & HEMMINGWAY CT,UNIVERSITY BLVD W & HEMINGWAY CRT,39.036231,-77.027674,,,,,,2
6750,26750,UNIVERSITY W BLVD & SLIGO CREEK PKWY,,39.036667,-77.030209,,,,,,2
6754,26754,UNIVERSITY W BLVD & INWOOD AVE,,39.036297,-77.036775,,,,,,2
6756,26756,UNIVERSITY W BLVD & NICHOLAS DR,,39.03682,-77.038629,,,,,,2
6758,26758,UNIVERSITY W BLVD & EASECREST DR,,39.03778,-77.040035,,,,,,2
6760,26760,UNIVERSITY W BLVD & MARKWOOD DR,,39.039004,-77.041567,,,,,,2
6762,26762,UNIVERSITY W BLVD & REEDIE DR,,39.039895,-77.042696,,,,,,2
6764,26764,UNIVERSITY W BLVD & WESTCHESTER DR,,39.040534,-77.044031,,,,,,2
6766,26766,UNIVERSITY W BLVD & EAST AVE,,39.039049,-77.057481,,,,,,2
6768,26768,UNIVERSITY W BLVD & MIDVALE RD,,39.038239,-77.058874,,,,,,2
6772,26772,UNIVERSITY W BLVD & HILLSDALE DR,,39.037059,-77.061292,,,,,,2
6774,26774,UNIVERSITY W BLVD & HOBSON ST,,39.035903,-77.064603,,,,,,2
6776,26776,UNIVERSITY W BLVD & @3333,,39.035483,-77.066737,,,,,,2
6778,26778,UNIVERSITY W BLVD & MADISON ST,,39.035258,-77.069064,,,,,,2
6780,26780,UNIVERSITY W BLVD & DECATUR AVE,,39.034284,-77.071907,,,,,,2
6782,26782,UNIVERSITY W BLVD & PERRY AVE,,39.03311,-77.073589,,,,,,2
6784,26784,UNIVERSITY W BLVD & CONNECTICUT AVE,,39.032038,-77.074669,,,,,,2
6800,26800,VEIRS MILL RD & ENNALLS AVE,,39.039709,-77.054637,,,,,,2
6802,26802,VEIRS MILL RD & UNIVERSITY W BLVD,,39.040346,-77.055777,,,,,,2
6804,26804,VEIRS MILL RD & GALT AVE,,39.041534,-77.058023,,,,,,2
6806,26806,VEIRS MILL RD & MONTERREY DR,,39.042896,-77.060615,,,,,,2
6808,26808,VEIRS MILL RD & MONTERREY DR,,39.044053,-77.062868,,,,,,2
6810,26810,VEIRS MILL RD & NEWPORT MILL RD,,39.045035,-77.064615,,,,,,2
6812,26812,VEIRS MILL RD & PENDLETON DR,,39.0468,-77.067241,,,,,,2
6814,26814,VEIRS MILL RD & CLARIDGE RD,,39.048473,-77.068976,,,,,,2
6816,26816,VEIRS MILL RD & ANDREW ST,,39.049953,-77.071362,,,,,,2
6820,26820,VEIRS MILL RD & OKINAWA AVE,,39.076442,-77.121476,,,,,,2
