route_id agency_id route_short_name route_long_name route_desc route_type route_url route_color route_text_color
F62 1 F62 "Rosslyn-Arlington Blvd-Dunn Lori" NA 3 NA 0091c8 ffffff
F81 1 F81 "Burke Centre Exp" NA 3 NA 0091c8 ffffff
F83 1 F83 "Cardinal Forest Exp" NA 3 NA 0091c8 ffffff
F85 1 F85 "Little River Tpk-Pentagon" NA 3 NA 0091c8 ffffff
LCL 1 LCL LCL NA 3 NA ffffff 000000
M12 1 M12 "University Blvd" NA 3 NA d83a1f ffffff
M20 1 M20 "Wheaton-Silver Spring" NA 3 NA d83a1f ffffff
M22 1 M22 Olney-Bethesda NA 3 NA 0091c8 ffffff
M42 1 M42 "Randolph Rd-College Park" NA 3 NA 735fa9 ffffff
M44 1 M44 "Randolph Rd-Hyattsville Crossing" NA 3 NA 735fa9 ffffff
M52 1 M52 "Colesville Rd-Burtonsville" NA 3 NA 0091c8 ffffff
M54 1 M54 "Colesville Rd-Greencastle" NA 3 NA 0091c8 ffffff
M60 1 M60 "New Hampshire Av" NA 3 NA d83a1f ffffff
M6X 1 M6X "New Hampshire Av Limited" NA 3 NA 005594 ffffff
M70 1 M70 "East West Hwy" NA 3 NA d83a1f ffffff
M82 1 M82 "River Rd-Falls Rd" NA 3 NA 0091c8 ffffff
P10 1 P10 "Baltimore Av" NA 3 NA 0091c8 ffffff
P12 1 P12 Laurel-Greenbelt NA 3 NA 735fa9 ffffff
P14 1 P14 "Kenilworth Av" NA 3 NA 0091c8 ffffff
P15 1 P15 "Riggs Rd-Adelphi" NA 3 NA 0091c8 ffffff
P16 1 P16 "Riggs Rd-White Oak" NA 3 NA 0091c8 ffffff
P1X 1 P1X "Baltimore Av Limited" NA 3 NA 005594 ffffff
P20 1 P20 "Greenbelt Rd-New Carrollton" NA 3 NA 0091c8 ffffff
P21 1 P21 "Hanover Pkwy-New Carrollton" NA 3 NA 735fa9 ffffff
P24 1 P24 "Good Luck Rd" NA 3 NA 735fa9 ffffff
P30 1 P30 "New Carrollton-Silver Spring" NA 3 NA d83a1f ffffff
P31 1 P31 "New Carrollton-Takoma Langley" NA 3 NA 0091c8 ffffff
P32 1 P32 "Greenbelt-Fort Totten" NA 3 NA 735fa9 ffffff
P33 1 P33 "Queens Chapel Rd" NA 3 NA 0091c8 ffffff
P35 1 P35 "New Carrollton-Fort Totten" NA 3 NA 735fa9 ffffff
P40 1 P40 "Annapolis Rd" NA 3 NA d83a1f ffffff
P41 1 P41 "Landover Rd" NA 3 NA 005594 ffffff
P42 1 P42 "Chillum Rd-New Carrollton" NA 3 NA 735fa9 ffffff
P60 1 P60 "MLK Hwy-Suitland" NA 3 NA d83a1f ffffff
P61 1 P61 Glenarden-Suitland NA 3 NA 0091c8 ffffff
P62 1 P62 "Deanwood-Branch Av" NA 3 NA 735fa9 ffffff
P63 1 P63 "Central Av-Naylor Rd" NA 3 NA 735fa9 ffffff
P66 1 P66 Forestville-Suitland NA 3 NA 0091c8 ffffff
P72 1 P72 "Central Av-Bowie" NA 3 NA 735fa9 ffffff
P73 1 P73 "Central Av-Trade Zone" NA 3 NA 735fa9 ffffff
P87 1 P87 "Brinkley Rd" NA 3 NA 735fa9 ffffff
P90 1 P90 "St Barnabas Rd" NA 3 NA 0091c8 ffffff
P93 1 P93 Suitland-Birchwood NA 3 NA 005594 ffffff
P94 1 P94 "Suitland-National Harbor" NA 3 NA 005594 ffffff
P96 1 P96 "Suitland-Oxon Hill" NA 3 NA 0091c8 ffffff
P97 1 P97 "Southern Av-Ft Washington" NA 3 NA 735fa9 ffffff
