stop_id stop_code stop_name stop_desc stop_lat stop_lon zone_id stop_url
364 5000143 "Old Keene Mill Rd+Byron Av" NA 38.775928 -77.202049 NA NA
368 5000146 "Old Keene Mill Rd+Greeley Bl" NA 38.776119 -77.216408 NA NA
371 5000148 "Greeley Bl+Harwood Pl" NA 38.77634 -77.215668 NA NA
374 5000150 "Old Keene Mill Rd+Wyngate Dr" NA 38.776421 -77.243851 NA NA
376 5000152 "Old Keene Mill Rd+Hillside Rd" NA 38.776623 -77.244034 NA NA
379 5000155 "Greeley Bl+Harwood Pl" NA 38.776825 -77.215614 NA NA
383 5000156 "Old Keene Mill Rd+Hastings St" NA 38.777386 -77.197144 NA NA
384 5000157 "Shiplett Bl+Torrence St" NA 38.777477 -77.266403 NA NA
385 5000158 "Old Keene Mill Rd+Hanover Av" NA 38.777683 -77.195168 NA NA
386 5000159 "Old Keene Mill Rd+Lee Valley Dr" NA 38.77771 -77.193985 NA NA
387 5000160 "Old Keene Mill Rd+English Ivy Wy" NA 38.777752 -77.239365 NA NA
388 5000161 "Shiplett Bl+Torrence St" NA 38.77779 -77.265938 NA NA
390 5000163 "Greeley Bl+Alberta St" NA 38.777969 -77.215652 NA NA
391 3000217 "Ft Foote Rd+River Bend Rd" NA 38.777996 -77.011276 NA NA
392 5000164 "Old Keene Mill Rd+Bauer Dr" NA 38.778042 -77.241074 NA NA
394 5000165 "Old Keene Mill Rd+Commerce St" NA 38.778126 -77.19178 NA NA
396 3000220 "Ft Foote Rd+River Bend Rd" NA 38.778187 -77.01088 NA NA
397 5000166 "Greeley Bl+Alberta St" NA 38.77824 -77.215881 NA NA
398 5000167 "Old Keene Mill Rd+Commerce St" NA 38.778271 -77.192154 NA NA
399 5000168 "Old Keene Mill Rd+Millwood Dr" NA 38.778316 -77.237007 NA NA
400 5000169 "Hillside Rd+Surveyors Pl" NA 38.778358 -77.246719 NA NA
401 5000170 "Old Keene Mill+Jansen Dr" NA 38.77837 -77.220657 NA NA
402 5000171 "Old Keene Mill Rd+Old Keene Mill Ct" NA 38.778416 -77.237312 NA NA
403 3000221 "Oxon Hill Rd+Kerby Pkwy" NA 38.778431 -77.00618 NA NA
404 5000172 "Old Keene Mill Rd+Jansen Dr" NA 38.778511 -77.220444 NA NA
405 5000173 "Old Keene Mill Rd+Spring Rd" NA 38.778484 -77.189331 NA NA
406 3000222 "Oxon Hill Rd+Kerby Pkwy" NA 38.77861 -77.006271 NA NA
407 5000174 "Hillside Rd+Surveyors Pl" NA 38.778622 -77.247093 NA NA
409 5000176 "Old Keene Mill Rd+Rolling Rd" NA 38.778797 -77.234932 NA NA
410 5000177 "Old Keene Mill Rd+Spring Rd" NA 38.778824 -77.188759 NA NA
411 5000178 "Capella Av+Lee Chapel Rd" NA 38.778965 -77.275932 NA NA
413 5000180 "Capella Av+Lee Chapel Rd" NA 38.77903 -77.275986 NA NA
418 5000183 "Old Keene Mill Rd+Bardu Av" NA 38.779472 -77.22216 NA NA
420 5000184 "Old Keene Mill Rd+Rolling Rd" NA 38.779499 -77.231544 NA NA
422 5000185 "Old Keene Mill Rd+Rolling Rd" NA 38.779652 -77.231651 NA NA
425 5000186 "Greeley Bl+Brompton St" NA 38.779778 -77.217041 NA NA
426 5000187 "Greeley Bl+Brompton St" NA 38.779793 -77.216949 NA NA
427 5000188 "Shiplett Bl+Andromeda Dr" NA 38.779797 -77.265465 NA NA
429 5000190 "Shiplett Bl+Andromeda Dr" NA 38.779938 -77.265335 NA NA
430 5000191 "Old Keene Mill Rd+Bardu Ct" NA 38.780128 -77.222977 NA NA
431 5000192 "Capella Av+Orion Ct" NA 38.780094 -77.274925 NA NA
432 5000193 "Old Keene Mill Rd+Carrleigh Pkwy" NA 38.780113 -77.228554 NA NA
433 5000194 "Capella Av+Orion Ct" NA 38.780174 -77.274994 NA NA
434 5000195 "Old Keene Mill Rd+Carrleigh Pkwy" NA 38.780251 -77.228912 NA NA
435 5000196 "Old Keene Mill Rd+Ainsworth Av" NA 38.780464 -77.226181 NA NA
436 5000197 "Old Keene Mill Rd+Ainsworth Av" NA 38.780666 -77.226364 NA NA
437 5000198 "Hillside Rd+Moverly Ct" NA 38.780975 -77.249756 NA NA
438 5000199 "Hillside Rd+Moverly Ct" NA 38.780994 -77.249603 NA NA
439 3000229 "Livingston Rd+Murray Hill Dr" NA 38.781132 -76.9953 NA NA
445 5000201 "Capella Av+Vandola Ct" NA 38.781464 -77.274078 NA NA
450 3000234 "Livingston Rd+Carey Branch Dr" NA 38.781681 -76.993134 NA NA
451 5000206 "Lee Chapel Rd+Covered Bridge Rd" NA 38.781765 -77.277756 NA NA
453 5000207 "Capella Av+Vandola Ct" NA 38.782078 -77.273743 NA NA
458 5000210 "Lee Chapel Rd+Covered Bridge Rd" NA 38.782379 -77.277763 NA NA
459 3000237 "Livingston Rd+Hart Rd" NA 38.782398 -76.992409 NA NA
462 5000212 "Shiplett Bl+Hatches Ct" NA 38.782524 -77.266808 NA NA
463 5000213 "Greeley Bl+Bardu Av" NA 38.782585 -77.218887 NA NA
464 5000214 "Shiplett Bl+Fushimi Ct" NA 38.782593 -77.267189 NA NA
468 5000216 "Greeley Bl+Bardu Av" NA 38.782711 -77.219917 NA NA
472 3000242 "Livingston Rd+Hart Rd" NA 38.782845 -76.992081 NA NA
475 5000220 "Capella Av+Scorpio Ln" NA 38.782951 -77.272873 NA NA
477 5000221 "Greeley Bl+Tanglewood Ct" NA 38.783241 -77.221687 NA NA
479 5000223 "Greeley Bl+Tanglewood Ct" NA 38.783512 -77.222328 NA NA
481 5000225 "Capella Av+Mellet Ct" NA 38.783802 -77.271782 NA NA
483 5000227 "Shiplett Bl+Rockwell Ct" NA 38.783943 -77.26963 NA NA
484 5000228 "Shiplett Bl+Capella Av" NA 38.783974 -77.270515 NA NA
487 5000230 "Greeley Bl+Dabney Av" NA 38.784725 -77.222862 NA NA
489 5000231 "Burke Centre Pkwy+Wesley Pond Ct" NA 38.784821 -77.280861 NA NA
490 5000232 "Burke Centre Pkwy+Wesley Pond Ct" NA 38.784882 -77.281136 NA NA
491 5000233 "Greeley Bl+Bardu Av" NA 38.78495 -77.222664 NA NA
496 5000237 "Hillside Rd+Sweet Oak Ct" NA 38.785305 -77.250107 NA NA
504 3000248 "Livingston Rd+Elwin Rd" NA 38.785904 -76.990685 NA NA
505 3000249 "Livingston Rd+Elwin Rd" NA 38.785923 -76.990784 NA NA
508 5000243 "Hillside Rd+Weeping Hollow Ln" NA 38.78603 -77.249023 NA NA
510 5000244 "Burke Centre Pkwy+Marshall Pond Rd" NA 38.78606 -77.294388 NA NA
513 5000246 "Burke Centre Pkwy+Schoolhouse Woods Rd" NA 38.786434 -77.293846 NA NA
514 5000247 "Hillside Rd+Selwood Pl" NA 38.786465 -77.24884 NA NA
517 5000249 "Burke Centre Pkwy+Burke Pond Ln" NA 38.786648 -77.284088 NA NA
518 5000250 "Burke Centre Pkwy+Pond Spice Ln" NA 38.786652 -77.299919 NA NA
520 5000252 "Burke Centre Pkwy+Burke Commons Rd" NA 38.786831 -77.29985 NA NA
522 5000253 "Burke Centre Pkwy+Coffer Woods Rd" NA 38.787148 -77.291138 NA NA
523 5000254 "Burke Centre Pkwy+Wheaton Dr" NA 38.787338 -77.285049 NA NA
525 5000256 "Burke Centre Pkwy+Coffer Woods Rd" NA 38.787289 -77.291451 NA NA
